(2023-10-26 13:33:58),0.0277742,0,start,1366.85,385,LicenseMgr Init : 
(2023-10-26 13:33:59),0.0470472,0,end,1373.13,386,LicenseMgr Init : 
(2023-10-26 13:34:02),0.0979268,0,start,1459.39,419,VCS Read Task : 
(2023-10-26 13:34:05),0.155891,0,end,1459.39,419,VCS Read Task : 
(2023-10-26 13:34:05),0.156636,0,start,1459.39,419,Load VCS Message: 
(2023-10-26 13:34:05),0.156878,0,end,1459.39,419,Load VCS Message: 
(2023-10-26 13:34:05),0.15697,0,start,1459.39,419,NLDM Creation : 
(2023-10-26 13:34:05),0.157048,0,start,1459.39,419,LoadCircuitModel : 
(2023-10-26 13:34:05),0.157248,0,start,1459.39,420,VsiLib_Restore : 
(2023-10-26 13:34:05),0.157321,0,end,1459.39,420,VsiLib_Restore : 
(2023-10-26 13:34:05),0.157398,0,end,1459.39,420,LoadCircuitModel : 
(2023-10-26 13:34:05),0.157474,0,start,1459.39,420,BuildNetlist : 
(2023-10-26 13:34:05),0.157547,0,start,1459.39,420,NLDM Build : 
(2023-10-26 13:34:05),0.158138,0,end,1474.34,437,NLDM Build : 
(2023-10-26 13:34:05),0.158234,1,start,1474.34,437,Cell properties : 
(2023-10-26 13:34:05),0.158302,1,end,1474.35,437,Cell properties : 
(2023-10-26 13:34:05),0.158383,0,end,1474.35,437,BuildNetlist : 
(2023-10-26 13:34:05),0.158447,0,end,1474.35,437,NLDM Creation : 
(2023-10-26 13:34:05),0.158609,0,start,1474.35,437,PropertyLoad: Formal Property : 
(2023-10-26 13:34:06),0.158823,0,end,1474.35,437,PropertyLoad: Formal Property : 
(2023-10-26 13:34:06),0.158894,0,start,1474.35,437,PropertyLoad: Formal Property : 
(2023-10-26 13:34:06),0.158993,0,end,1474.35,437,PropertyLoad: Formal Property : 
(2023-10-26 13:34:06),0.159086,0,start,1474.35,437,PropertyLoad: Formal Property : 
(2023-10-26 13:34:06),0.159167,0,end,1474.35,437,PropertyLoad: Formal Property : 
(2023-10-26 13:34:06),0.159271,0,start,1474.35,436,StaticCheck: StaticCheckProcess : 
(2023-10-26 13:34:06),0.159371,0,start,1474.35,436,StaticCheck: NldfgFlatDesign : 
(2023-10-26 13:34:06),0.159453,0,start,1474.35,436,StaticCheck: createFlatDesign : 
(2023-10-26 13:34:06),0.159695,0,end,1482.37,446,StaticCheck: createFlatDesign : 
(2023-10-26 13:34:06),0.159782,0,start,1482.37,446,StaticCheck: legalize : 
(2023-10-26 13:34:06),0.159856,0,end,1482.37,446,StaticCheck: legalize : 
(2023-10-26 13:34:06),0.159937,0,start,1482.37,446,StaticCheck: computeNetEquivalences : 
(2023-10-26 13:34:06),0.160002,0,end,1482.37,446,StaticCheck: computeNetEquivalences : 
(2023-10-26 13:34:06),0.160067,0,start,1482.37,446,StaticCheck: eliminateBidirectionals : 
(2023-10-26 13:34:06),0.160131,0,end,1482.37,446,StaticCheck: eliminateBidirectionals : 
(2023-10-26 13:34:06),0.160194,0,end,1482.37,446,StaticCheck: NldfgFlatDesign : 
(2023-10-26 13:34:06),0.160253,0,start,1482.37,446,StaticCheck: CombLoopCheck  : 
(2023-10-26 13:34:06),0.160339,0,end,1482.37,446,StaticCheck: CombLoopCheck  : 
(2023-10-26 13:34:06),0.160398,0,start,1482.37,446,StaticCheck: MultiDriverCheck  : 
(2023-10-26 13:34:06),0.160469,0,end,1482.37,446,StaticCheck: MultiDriverCheck  : 
(2023-10-26 13:34:06),0.160529,0,end,1482.37,437,StaticCheck: StaticCheckProcess : 
(2023-10-26 13:34:06),0.160747,0,start,1482.37,437,populate SSF data: 
(2023-10-26 13:34:06),0.160845,0,end,1482.37,437,populate SSF data: 
(2023-10-26 13:34:06),0.160923,0,start,1482.37,437,DumpGateCountStats : 
(2023-10-26 13:34:06),0.161038,0,end,1482.37,437,DumpGateCountStats : 
(2023-10-26 13:34:06),0.161156,1,start,1482.37,446,ModuleDesignPropagation : 
(2023-10-26 13:34:06),0.161241,1,end,1482.37,446,ModuleDesignPropagation : 
(2023-10-26 13:34:06),0.163928,0,start,1483.95,448,sim build substep: 
(2023-10-26 13:34:06),0.164629,0,end,1492.67,457,sim build substep: 
(2023-10-26 13:34:06),0.164692,0,start,1492.67,457,sim run substep: 
(2023-10-26 13:34:06),0.165029,0,end,1496.7,461,sim run substep: 
(2023-10-26 13:34:06),0.1651,0,start,1496.7,461,sim_save_reset : 
(2023-10-26 13:34:06),0.166139,0,end,1506.45,463,sim_save_reset : 
(2023-10-26 13:34:06),0.166491,0,start,1506.45,463,CompileProperty : 
(2023-10-26 13:34:09),0.209542,0,end,1506.45,463,CompileProperty : 
(2023-10-26 13:34:09),0.209599,0,start,1506.45,463,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:34:09),0.209687,0,start,1506.45,463,VsiLib_Restore : 
(2023-10-26 13:34:09),0.209748,0,end,1506.45,463,VsiLib_Restore : 
(2023-10-26 13:34:09),0.209818,0,start,1506.45,463,BanffAddSvaProperty: createModel : 
(2023-10-26 13:34:09),0.20988,0,end,1506.45,463,BanffAddSvaProperty: createModel : 
(2023-10-26 13:34:09),0.209994,0,start,1506.45,463,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:34:09),0.210072,0,start,1506.45,463,BanffAddSvaProperty: instrumentProperty : 
(2023-10-26 13:34:09),0.210355,0,end,1506.45,463,BanffAddSvaProperty: instrumentProperty : 
