M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: before LicenseMgr Init : M=1366.85mb, Malloc-M=385mb, T=0s W=(2023-10-26 13:33:58)
STATS:: after  LicenseMgr Init : M=1373.13mb, Malloc-M=386mb, T=1s W=(2023-10-26 13:33:59)
M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: before VCS Read Task : M=1459.39mb, Malloc-M=419mb, T=0s W=(2023-10-26 13:34:02)
STATS:: after  VCS Read Task : M=1459.39mb, Malloc-M=419mb, T=3s W=(2023-10-26 13:34:05)
STATS:: before Load VCS Message: M=1459.39mb, Malloc-M=419mb, T=0s W=(2023-10-26 13:34:05)
STATS:: after  Load VCS Message: M=1459.39mb, Malloc-M=419mb, T=0s W=(2023-10-26 13:34:05)
STATS:: before NLDM Creation : M=1459.39mb, Malloc-M=419mb, T=0s W=(2023-10-26 13:34:05)
STATS:: |   before LoadCircuitModel : M=1459.39mb, Malloc-M=419mb, T=0s W=(2023-10-26 13:34:05)
STATS:: |   |   before VsiLib_Restore : M=1459.39mb, Malloc-M=420mb, T=0s W=(2023-10-26 13:34:05)
STATS:: |   |   after  VsiLib_Restore : M=1459.39mb, Malloc-M=420mb, T=0s W=(2023-10-26 13:34:05)
STATS:: |   after  LoadCircuitModel : M=1459.39mb, Malloc-M=420mb, T=0s W=(2023-10-26 13:34:05)
STATS:: |   before BuildNetlist : M=1459.39mb, Malloc-M=420mb, T=0s W=(2023-10-26 13:34:05)
STATS:: |   |   before NLDM Build : M=1459.39mb, Malloc-M=420mb, T=0s W=(2023-10-26 13:34:05)
STATS:: |   |   after  NLDM Build : M=1474.34mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:34:05)
STATS:: |   |   before Cell properties : M=1474.34mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:34:05)
STATS:: |   |   after  Cell properties : M=1474.35mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:34:05)
STATS:: |   after  BuildNetlist : M=1474.35mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:34:05)
STATS:: after  NLDM Creation : M=1474.35mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:34:05)
STATS:: before PropertyLoad: Formal Property : M=1474.35mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:34:05)
STATS:: after  PropertyLoad: Formal Property : M=1474.35mb, Malloc-M=437mb, T=1s W=(2023-10-26 13:34:06)
STATS:: before PropertyLoad: Formal Property : M=1474.35mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:34:06)
STATS:: after  PropertyLoad: Formal Property : M=1474.35mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:34:06)
STATS:: before PropertyLoad: Formal Property : M=1474.35mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:34:06)
STATS:: after  PropertyLoad: Formal Property : M=1474.35mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:34:06)
STATS:: before StaticCheck: StaticCheckProcess : M=1474.35mb, Malloc-M=436mb, T=0s W=(2023-10-26 13:34:06)
STATS:: |   before StaticCheck: NldfgFlatDesign : M=1474.35mb, Malloc-M=436mb, T=0s W=(2023-10-26 13:34:06)
STATS:: |   |   before StaticCheck: createFlatDesign : M=1474.35mb, Malloc-M=436mb, T=0s W=(2023-10-26 13:34:06)
STATS:: |   |   after  StaticCheck: createFlatDesign : M=1482.37mb, Malloc-M=446mb, T=0s W=(2023-10-26 13:34:06)
STATS:: |   |   before StaticCheck: legalize : M=1482.37mb, Malloc-M=446mb, T=0s W=(2023-10-26 13:34:06)
STATS:: |   |   after  StaticCheck: legalize : M=1482.37mb, Malloc-M=446mb, T=0s W=(2023-10-26 13:34:06)
STATS:: |   |   before StaticCheck: computeNetEquivalences : M=1482.37mb, Malloc-M=446mb, T=0s W=(2023-10-26 13:34:06)
STATS:: |   |   after  StaticCheck: computeNetEquivalences : M=1482.37mb, Malloc-M=446mb, T=0s W=(2023-10-26 13:34:06)
STATS:: |   |   before StaticCheck: eliminateBidirectionals : M=1482.37mb, Malloc-M=446mb, T=0s W=(2023-10-26 13:34:06)
STATS:: |   |   after  StaticCheck: eliminateBidirectionals : M=1482.37mb, Malloc-M=446mb, T=0s W=(2023-10-26 13:34:06)
STATS:: |   after  StaticCheck: NldfgFlatDesign : M=1482.37mb, Malloc-M=446mb, T=0s W=(2023-10-26 13:34:06)
STATS:: |   before StaticCheck: CombLoopCheck  : M=1482.37mb, Malloc-M=446mb, T=0s W=(2023-10-26 13:34:06)
STATS:: |   after  StaticCheck: CombLoopCheck  : M=1482.37mb, Malloc-M=446mb, T=0s W=(2023-10-26 13:34:06)
STATS:: |   before StaticCheck: MultiDriverCheck  : M=1482.37mb, Malloc-M=446mb, T=0s W=(2023-10-26 13:34:06)
STATS:: |   after  StaticCheck: MultiDriverCheck  : M=1482.37mb, Malloc-M=446mb, T=0s W=(2023-10-26 13:34:06)
STATS:: after  StaticCheck: StaticCheckProcess : M=1482.37mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:34:06)
STATS:: before populate SSF data: M=1482.37mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:34:06)
STATS:: after  populate SSF data: M=1482.37mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:34:06)
STATS:: before DumpGateCountStats : M=1482.37mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:34:06)
STATS:: after  DumpGateCountStats : M=1482.37mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:34:06)
STATS:: before ModuleDesignPropagation : M=1482.37mb, Malloc-M=446mb, T=0s W=(2023-10-26 13:34:06)
STATS:: after  ModuleDesignPropagation : M=1482.37mb, Malloc-M=446mb, T=0s W=(2023-10-26 13:34:06)
STATS:: before sim build substep: M=1483.95mb, Malloc-M=448mb, T=0s W=(2023-10-26 13:34:06)
STATS:: after  sim build substep: M=1492.67mb, Malloc-M=457mb, T=0s W=(2023-10-26 13:34:06)
STATS:: before sim run substep: M=1492.67mb, Malloc-M=457mb, T=0s W=(2023-10-26 13:34:06)
STATS:: after  sim run substep: M=1496.7mb, Malloc-M=461mb, T=0s W=(2023-10-26 13:34:06)
STATS:: before sim_save_reset : M=1496.7mb, Malloc-M=461mb, T=0s W=(2023-10-26 13:34:06)
STATS:: after  sim_save_reset : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:06)
STATS:: before CompileProperty : M=1506.45mb, Malloc-M=463mb, T=0s W=(2023-10-26 13:34:06)
