(2023-10-26 13:37:55),0.0274093,0,start,1366.85,385,LicenseMgr Init : 
(2023-10-26 13:37:56),0.045944,0,end,1373.13,386,LicenseMgr Init : 
(2023-10-26 13:37:59),0.104214,0,start,1459.46,419,VCS Read Task : 
(2023-10-26 13:38:03),0.16221,0,end,1459.46,420,VCS Read Task : 
(2023-10-26 13:38:03),0.16287,0,start,1459.46,420,Load VCS Message: 
(2023-10-26 13:38:03),0.163483,0,end,1459.46,420,Load VCS Message: 
(2023-10-26 13:38:03),0.163574,0,start,1459.46,420,NLDM Creation : 
(2023-10-26 13:38:03),0.163652,0,start,1459.46,420,LoadCircuitModel : 
(2023-10-26 13:38:03),0.163841,0,start,1459.46,420,VsiLib_Restore : 
(2023-10-26 13:38:03),0.163916,0,end,1459.46,420,VsiLib_Restore : 
(2023-10-26 13:38:03),0.163988,0,end,1459.46,420,LoadCircuitModel : 
(2023-10-26 13:38:03),0.164077,0,start,1459.46,421,BuildNetlist : 
(2023-10-26 13:38:03),0.164146,0,start,1459.46,421,NLDM Build : 
(2023-10-26 13:38:03),0.164619,0,end,1474.41,437,NLDM Build : 
(2023-10-26 13:38:03),0.164713,1,start,1474.41,437,Cell properties : 
(2023-10-26 13:38:03),0.16479,1,end,1474.42,437,Cell properties : 
(2023-10-26 13:38:03),0.164873,0,end,1474.42,437,BuildNetlist : 
(2023-10-26 13:38:03),0.164944,0,end,1474.42,437,NLDM Creation : 
(2023-10-26 13:38:03),0.165119,0,start,1474.42,437,PropertyLoad: Formal Property : 
(2023-10-26 13:38:03),0.165268,0,end,1474.42,438,PropertyLoad: Formal Property : 
(2023-10-26 13:38:03),0.165342,0,start,1474.42,438,PropertyLoad: Formal Property : 
(2023-10-26 13:38:03),0.165411,0,end,1474.42,438,PropertyLoad: Formal Property : 
(2023-10-26 13:38:03),0.165485,0,start,1474.42,438,PropertyLoad: Formal Property : 
(2023-10-26 13:38:03),0.165557,0,end,1474.42,438,PropertyLoad: Formal Property : 
(2023-10-26 13:38:03),0.165637,0,start,1474.42,438,StaticCheck: StaticCheckProcess : 
(2023-10-26 13:38:03),0.165741,0,start,1474.42,438,StaticCheck: NldfgFlatDesign : 
(2023-10-26 13:38:03),0.165816,0,start,1474.42,438,StaticCheck: createFlatDesign : 
(2023-10-26 13:38:03),0.165999,0,end,1483.45,447,StaticCheck: createFlatDesign : 
(2023-10-26 13:38:03),0.166053,0,start,1483.45,447,StaticCheck: legalize : 
(2023-10-26 13:38:03),0.166104,0,end,1483.45,447,StaticCheck: legalize : 
(2023-10-26 13:38:03),0.166159,0,start,1483.45,447,StaticCheck: computeNetEquivalences : 
(2023-10-26 13:38:03),0.166222,0,end,1483.45,447,StaticCheck: computeNetEquivalences : 
(2023-10-26 13:38:03),0.166284,0,start,1483.45,447,StaticCheck: eliminateBidirectionals : 
(2023-10-26 13:38:03),0.166341,0,end,1483.45,447,StaticCheck: eliminateBidirectionals : 
(2023-10-26 13:38:03),0.166395,0,end,1483.45,447,StaticCheck: NldfgFlatDesign : 
(2023-10-26 13:38:03),0.166453,0,start,1483.45,447,StaticCheck: CombLoopCheck  : 
