M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: before LicenseMgr Init : M=1366.85mb, Malloc-M=385mb, T=0s W=(2023-10-26 13:37:55)
STATS:: after  LicenseMgr Init : M=1373.13mb, Malloc-M=386mb, T=1s W=(2023-10-26 13:37:56)
M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: before VCS Read Task : M=1459.46mb, Malloc-M=419mb, T=0s W=(2023-10-26 13:37:59)
STATS:: after  VCS Read Task : M=1459.46mb, Malloc-M=420mb, T=4s W=(2023-10-26 13:38:03)
STATS:: before Load VCS Message: M=1459.46mb, Malloc-M=420mb, T=0s W=(2023-10-26 13:38:03)
STATS:: after  Load VCS Message: M=1459.46mb, Malloc-M=420mb, T=0s W=(2023-10-26 13:38:03)
STATS:: before NLDM Creation : M=1459.46mb, Malloc-M=420mb, T=0s W=(2023-10-26 13:38:03)
STATS:: |   before LoadCircuitModel : M=1459.46mb, Malloc-M=420mb, T=0s W=(2023-10-26 13:38:03)
STATS:: |   |   before VsiLib_Restore : M=1459.46mb, Malloc-M=420mb, T=0s W=(2023-10-26 13:38:03)
STATS:: |   |   after  VsiLib_Restore : M=1459.46mb, Malloc-M=420mb, T=0s W=(2023-10-26 13:38:03)
STATS:: |   after  LoadCircuitModel : M=1459.46mb, Malloc-M=420mb, T=0s W=(2023-10-26 13:38:03)
STATS:: |   before BuildNetlist : M=1459.46mb, Malloc-M=421mb, T=0s W=(2023-10-26 13:38:03)
STATS:: |   |   before NLDM Build : M=1459.46mb, Malloc-M=421mb, T=0s W=(2023-10-26 13:38:03)
STATS:: |   |   after  NLDM Build : M=1474.41mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:38:03)
STATS:: |   |   before Cell properties : M=1474.41mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:38:03)
STATS:: |   |   after  Cell properties : M=1474.42mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:38:03)
STATS:: |   after  BuildNetlist : M=1474.42mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:38:03)
STATS:: after  NLDM Creation : M=1474.42mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:38:03)
STATS:: before PropertyLoad: Formal Property : M=1474.42mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:38:03)
STATS:: after  PropertyLoad: Formal Property : M=1474.42mb, Malloc-M=438mb, T=0s W=(2023-10-26 13:38:03)
STATS:: before PropertyLoad: Formal Property : M=1474.42mb, Malloc-M=438mb, T=0s W=(2023-10-26 13:38:03)
STATS:: after  PropertyLoad: Formal Property : M=1474.42mb, Malloc-M=438mb, T=0s W=(2023-10-26 13:38:03)
STATS:: before PropertyLoad: Formal Property : M=1474.42mb, Malloc-M=438mb, T=0s W=(2023-10-26 13:38:03)
STATS:: after  PropertyLoad: Formal Property : M=1474.42mb, Malloc-M=438mb, T=0s W=(2023-10-26 13:38:03)
STATS:: before StaticCheck: StaticCheckProcess : M=1474.42mb, Malloc-M=437mb, T=0s W=(2023-10-26 13:38:03)
STATS:: |   before StaticCheck: NldfgFlatDesign : M=1474.42mb, Malloc-M=438mb, T=0s W=(2023-10-26 13:38:03)
STATS:: |   |   before StaticCheck: createFlatDesign : M=1474.42mb, Malloc-M=438mb, T=0s W=(2023-10-26 13:38:03)
STATS:: |   |   after  StaticCheck: createFlatDesign : M=1483.45mb, Malloc-M=447mb, T=0s W=(2023-10-26 13:38:03)
